Course Name,Course Code,Stream,Universities Offering Course,Faculty / Department,Duration,Degree Programme,A/L Subject Requirements,O/L Special Requirements,Practical / Aptitude Test,Proposed Intake,Medium of Instruction,Notes
Dance,069,Arts,"University of Jaffna (101); Swamy Vipulananda Institute, Eastern (93); University of Visual & Performing Arts (300)",Institute of Aesthetic Studies / Faculty of Performing Arts,4 Years,BFA Dance (Jaffna); BFA Honours Dance (SVIEAS); BPA Honours Dance (UVPA),At least 2 S grades in any 2 subjects + at least C grade in Dance,None,Yes,494,"Tamil (Jaffna, SVIEAS); Sinhala (UVPA)",Practical/Aptitude Test conducted by each respective institution
Drama & Theatre,071,Arts,"Swamy Vipulananda Institute, Eastern (104); University of Visual & Performing Arts (74)",Institute of Aesthetic Studies / Faculty of Performing Arts,4 Years,BFA Honours Drama & Theatre (SVIEAS); BPA Honours Drama & Theatre (UVPA),At least 2 S grades in any 2 subjects + at least C grade in Drama & Theatre,None,Yes,178,Tamil (SVIEAS); Sinhala (UVPA),Practical/Aptitude Test conducted by each respective institution
Visual Arts,085,Arts,University of Visual & Performing Arts,Faculty of Visual Arts,4 Years,Bachelor of Visual Arts Honours,At least 2 S grades in any 2 subjects + at least C grade in Art,None,Yes,120,Sinhala,Practical/Aptitude Test conducted by UVPA
Visual & Technological Arts,072,Arts,"Swamy Vipulananda Institute, Eastern University",Swamy Vipulananda Institute of Aesthetic Studies,4 Years,BFA Honours in Visual & Technological Arts,At least 2 S grades in any 2 subjects + at least C grade in Art,None,Yes,94,Tamil,Practical/Aptitude Test conducted by SVIEAS
Art & Design,070,Arts,University of Jaffna,Faculty of Fine Arts,4 Years,BFA in Art & Design,At least 2 S grades in any 2 subjects + at least C grade in Art,None,Yes,50,Tamil,Practical/Aptitude Test conducted by Jaffna
Management,016,Commerce,Colombo; Peradeniya; Sri Jayewardenepura; Kelaniya; Jaffna; Ruhuna; Eastern; South Eastern; Rajarata; Sabaragamuwa; Wayamba,Faculty of Management,4 Years,BBA Honours / BSc Honours in Business Administration / BCom Honours (varies by university),"S grades in Business Studies, Economics, Accounting; OR 2 of these + 1 from: Agri Sci, Geography, Business Stats, German, Combined Math/Math, History, Political Sci, English, Logic & Scientific Method, French, ICT",None,No,5424,English / Sinhala / Tamil (varies),Faculty selects specialization within Management; some degree programmes (e.g. Finance at Ruhuna) require specific A/L subjects
Management and Public Policy,028,Commerce,University of Sri Jayewardenepura,Faculty of Management Studies & Commerce,4 Years,BSc Honours in Management and Public Policy,"Same as Management (Business Studies, Economics, Accounting or combination)",None,No,100,English,
Real Estate Management and Valuation,017,Commerce,University of Sri Jayewardenepura,Faculty of Management Studies & Commerce,4 Years,BSc Honours in Real Estate Management and Valuation,Same as Management,None,No,70,English,
Commerce,018,Commerce,Sri Jayewardenepura; Kelaniya; Jaffna; Eastern; South Eastern,Faculty of Management,4 Years,BCom Honours,Same as Management,None,No,884,English / Sinhala / Tamil,
Management Studies (TV),022,Any (all streams eligible),"University of Vavuniya; Trincomalee Campus, Eastern University",Faculty of Business Studies,3-4 Years,BSc Honours in Management / BBM (Honours) (varies),Any 3 subjects with minimum admission requirements,None,No,458,English / Tamil,At least 60% of Vavuniya intake from Commerce stream; at least 40% of Trincomalee intake from Commerce stream; 4th year optional
Business Information Systems (Honours) (BIS),077,Commerce,University of Sri Jayewardenepura,Faculty of Management Studies & Commerce,4 Years,BSc Honours in Business Information Systems,"S in Business Studies, Economics, Accounting; OR 2 of these + 1 from: ICT, Combined Math, Logic & Scientific Method, Business Stats, Physics",None,No,80,English,
Accounting Information Systems,127,Commerce,University of Kelaniya,Faculty of Commerce & Management,4 Years,BBM Honours in Accounting Information Systems,S in Accounting + S in (Economics or Business Studies) + S in (Business Stats or ICT),None,No,50,English,
Banking and Insurance,133,Commerce,University of Vavuniya,Faculty of Business Studies,4 Years,BBM Honours in Banking and Insurance,"S in Accounting, Economics + 3rd subject from Commerce Stream",None,No,50,English,
Service Management,140,Commerce,Gampaha Wickramarachchi University of Indigenous Medicine,Faculty of Applied Sciences,4 Years,BSc Honours in Service Management,S in any 3 Commerce Stream subjects,None,No,50,English,New course
Medicine,001,Biological Science,Colombo; Peradeniya; Sri Jayewardenepura; Kelaniya; Jaffna; Ruhuna; Eastern; Rajarata; Wayamba; Sabaragamuwa; Moratuwa; Uva Wellassa,Faculty of Medicine / Faculty of Medical Sciences / Faculty of Health Care Sciences,5 Years,MBBS,"At least 2 C grades and 1 S grade in Biology, Chemistry and Physics",None,No,2095,English,
Dental Surgery,002,Biological Science,Peradeniya; Sri Jayewardenepura,Faculty of Dental Sciences,5 Years,BDS,"S in Chemistry, Physics, Biology",None,No,130,English,
Veterinary Science,003,Biological Science,University of Peradeniya,Faculty of Veterinary Medicine and Animal Science,5 Years,BVSc,"S in Chemistry, Physics, Biology",None,No,110,English,
Agricultural Technology & Management,039,Biological Science,University of Peradeniya,Faculty of Agriculture,4 Years,BSc in Agricultural Technology & Management,"S in: (i) Chem, Physics, Biology; or (ii) Chem, Physics or Math, Biology or Agri Sci; or (iii) Chem, Biology, Agri Sci or Math",None,No,221,English,
Agriculture,004,Biological Science,Jaffna; Eastern; Rajarata; Sabaragamuwa; Wayamba,Faculty of Agriculture,4 Years,BSc in Agriculture / BSc Honours in Agriculture,"S in: (i) Chem, Physics, Biology; or (ii) Chem, Physics or Math, Biology or Agri Sci; or (iii) Chem, Biology, Agri Sci or Math",None,No,845,English / Tamil,
Food Science & Nutrition,005,Biological Science,Wayamba University of Sri Lanka,Faculty of Agriculture & Plantation Management,4 Years,BSc Honours in Food Science & Nutrition,"S in: (i) Chem, Physics, Biology; or (ii) Chem, Physics or Math, Biology or Agri Sci; or (iii) Chem, Biology, Agri Sci or Math",None,No,165,English,Specializations: Food Science & Technology; Applied Nutrition
Food Science & Technology,035,Biological Science,Peradeniya; Sri Jayewardenepura; Sabaragamuwa,Faculty of Science / Faculty of Applied Sciences,4 Years,BSc Honours in Food Science & Technology,"S in Chemistry, Physics, Biology",None,No,220,English,
Ayurveda Medicine and Surgery,032,Biological Science,University of Colombo; Gampaha Wickramarachchi University,Institute of Indigenous Medicine / Faculty of Indigenous Medicine,5 Years,BAMS (Bachelor of Ayurveda Medicine and Surgery),"S in Chemistry, Physics, Biology",None,No,383,English,
Unani Medicine and Surgery,033,Biological Science,University of Colombo,Institute of Indigenous Medicine,5 Years,BUMS (Bachelor of Unani Medicine and Surgery),"S in Chemistry, Physics, Biology",None,No,89,English,
Siddha Medicine and Surgery,036,Biological Science,"University of Jaffna; Trincomalee Campus, Eastern University",Faculty of Medicine,6 Years (5 academic + 1 internship),BSMS (Bachelor of Siddha Medicine and Surgery),"S in Chemistry, Physics, Biology",None,No,247,Tamil (Jaffna); English (Trincomalee),
Biological Science,006,Biological Science,Colombo; Peradeniya; Sri Jayewardenepura; Kelaniya; Jaffna; Ruhuna; Eastern; South Eastern,Faculty of Science,3-4 Years,BSc in Biological Science,"S in Biology, Chemistry + 3rd from: Agri Sci, Higher Math, Math, Combined Math, Physics",None,No,1683,English / Sinhala,
Applied Sciences (Biological Science),007,Biological Science,Sabaragamuwa; Rajarata; University of Vavuniya,Faculty of Science,3-4 Years,BSc (Applied Sciences) / BSc Honours in Applied Sciences (various specializations),"S in Biology, Chemistry + 3rd from: Agri Sci, Higher Math, Math, Combined Math, Physics",None,No,425,English,"Specializations vary by university (Environmental Sciences, Applied Biology, Chemistry, etc.)"
Health Promotion,050,Biological Science,Rajarata University of Sri Lanka,Faculty of Medicine & Allied Sciences,3 Years (BSc) / 4 Years (BSc Honours),BSc / BSc Honours in Health Promotion,"S in Biology, Chemistry + 3rd from: Agri Sci, Higher Math, Math, Combined Math, Physics",None,No,103,English,
Nursing,037,Biological Science,Peradeniya; Sri Jayewardenepura; Ruhuna; Jaffna; Eastern; Colombo,Faculty of Allied Health Sciences / Faculty of Medicine,4 Years (120 credit curriculum),BSc in Nursing,"S in Chemistry, Physics, Biology","At least S (Ordinary Pass) in English; minimum height 4'10""; no deformity",No,573,English,Physical requirements mandatory per Nursing Council Minute
Pharmacy,051,Biological Science,Peradeniya; Sri Jayewardenepura; Jaffna; Ruhuna,Faculty of Allied Health Sciences,4 Years (120 credit curriculum),BSc in Pharmacy,C in Chemistry + S in Physics and Biology,At least S (Ordinary Pass) in English,No,239,English,
Medical Laboratory Sciences,052,Biological Science,Peradeniya; Sri Jayewardenepura; Jaffna; Ruhuna,Faculty of Allied Health Sciences,4 Years (120 credit curriculum),BSc in Medical Laboratory Sciences,"S in Chemistry, Physics, Biology",At least S (Ordinary Pass) in English,No,226,English,
Radiography,053,Biological Science,University of Peradeniya,Faculty of Allied Health Sciences,4 Years (120 credit curriculum),BSc in Radiography,"S in Chemistry, Physics, Biology",At least S (Ordinary Pass) in English,No,68,English,
Physiotherapy,054,Biological Science,Colombo; Peradeniya,Faculty of Allied Health Sciences,4 Years (120 credit curriculum),BSc in Physiotherapy,"S in Physics, Chemistry + 3rd from: Biology, Math, Higher Math, Combined Math",At least S (Ordinary Pass) in English,No,111,English,
Biochemistry & Molecular Biology,058,Biological Science,University of Colombo,Faculty of Science,3 Years (BSc) / 4 Years (BSc Honours),BSc / BSc Honours in Biochemistry & Molecular Biology / Molecular Biology & Biotechnology,"S in Chemistry, Physics, Biology",None,No,80,English,
Fisheries & Marine Sciences,062,Biological Science,University of Ruhuna,Faculty of Fisheries & Marine Sciences & Technology,4 Years,BSc Honours in Fisheries and Marine Sciences,"S in Chemistry, Physics, Biology",None,No,150,English,Specializations: Fisheries Sciences; Aquaculture
Environmental Conservation & Management,055,Biological Science,University of Kelaniya,Faculty of Science,3 Years (BSc) / 4 Years (BSc Honours),BSc / BSc Honours in Environmental Conservation & Management,"S in Biology, Chemistry + 3rd from: Physics, Combined Math, Math, Agri Sci",None,No,109,English,
Animal Science & Fisheries,086,Biological Science,University of Peradeniya,Faculty of Agriculture,4 Years,BSc in Animal Science & Fisheries,"S in: (i) Chem, Biology, Physics; or (ii) Chem, Biology, Agri Sci",None,No,74,English,
Food Production & Technology Management,087,Biological Science,Wayamba University of Sri Lanka,Faculty of Agriculture & Plantation Management,4 Years,BSc Honours in Food Production & Technology Management,"S in: (i) Chem, Physics, Biology; or (ii) Chem, Physics or Math, Biology or Agri Sci; or (iii) Chem, Biology, Agri Sci or Math",None,No,140,English,Specializations: Livestock & Avian Sciences; Aquaculture & Fisheries
Agricultural Resource Management and Technology,093,Biological Science,University of Ruhuna,Faculty of Agriculture,4 Years,BSc in Agricultural Resource Management & Technology,"S in: (i) Chem, Physics, Biology; or (ii) Chem, Physics or Math, Biology or Agri Sci; or (iii) Chem, Biology, Agri Sci or Math",None,No,181,English,
Agribusiness Management,094,Biological Science,University of Ruhuna,Faculty of Agriculture,4 Years,BSc in Agribusiness Management,"S in Biology, Chemistry + 3rd from: Physics, Agri Sci, Food Technology / Bio-Resource Technology / Agro Technology",None,No,78,English,
Green Technology,095,Biological Science,University of Ruhuna,Faculty of Technology,4 Years,BSc in Green Technology,"S in Biology, Chemistry + 3rd from: Physics, Agri Sci, Food Technology / Bio-Resource Technology / Agro Technology",At least C (Credit Pass) in English,No,72,English,
Animal Production and Food Technology,067,Biological Science,Uva Wellassa University,Faculty of Animal Science & Export Agriculture,4 Years,BSc Honours in Animal Production and Food Technology,"S in Biology, Chemistry + 3rd from: Agri Sci, Higher Math, Math, Combined Math, Physics",None,No,108,English,Final year: industrial training + research
Export Agriculture,073,Biological Science,Uva Wellassa University,Faculty of Animal Science & Export Agriculture,4 Years,BSc Honours in Export Agriculture,"S in Biology, Chemistry + 3rd from: Agri Sci, Higher Math, Math, Combined Math, Physics",None,No,105,English,Specializations from 3rd year: Crop Products Technology; Entrepreneurial Agriculture
Aquatic Resources Technology,088,Biological Science,Uva Wellassa University,Faculty of Animal Science & Export Agriculture,4 Years,BSc Honours in Aquatic Resources Technology,"S in Biology, Chemistry + 3rd from: Agri Sci, Higher Math, Math, Combined Math, Physics",None,No,114,English,Final year: industrial training + research
Occupational Therapy,115,Biological Science,University of Kelaniya,Faculty of Medicine,4 Years,BSc Honours in Occupational Therapy,"S in Physics, Biology, Chemistry",None,No,50,English,
Optometry,116,Biological Science,University of Sri Jayewardenepura,Faculty of Medical Sciences,4 Years,BSc Honours in Optometry,"S in Chemistry, Physics, Biology",None,No,60,English,
Applied Chemistry,118,Biological Science,University of Kelaniya,Faculty of Science,4 Years,BSc Honours in Applied Chemistry,"S in Chemistry, Physics + 3rd from: Biology, Combined Math, Math, Higher Math, Agri Sci",None,No,60,English,
Indigenous Medicinal Resources,120,Biological Science,Gampaha Wickramarachchi University,Faculty of Indigenous Medicine,4 Years,BSc Honours in Indigenous Medicinal Resources,"S in any 3 from: Chemistry, Physics, Biology, Agri Sci",None,No,70,English,
Aquatic Bioresources,129,Biological Science,University of Sri Jayewardenepura,Faculty of Technology,3 Years (BSc) / 4 Years (BSc Honours),BSc / BSc Honours in Aquatic Bioresources,S in any 3 subjects from the Biological Science Stream,None,No,50,English,
Urban Bioresources,130,Biological Science,University of Sri Jayewardenepura,Faculty of Technology,3 Years (BSc) / 4 Years (BSc Honours),BSc / BSc Honours in Urban Bioresources,S in any 3 subjects from the Biological Science Stream,None,No,50,English,
Medical Imaging Technology,138,Biological Science,University of Colombo,Faculty of Medicine,4 Years,BSc Honours in Medical Imaging Technology,"S in Physics, Biology, Chemistry",None,No,50,English,
Speech and Hearing Sciences,083,Biological Science,University of Kelaniya,Faculty of Medicine,4 Years,BSc Honours in Speech and Hearing Sciences,"S in Biology, Physics, Chemistry",At least S (Ordinary Pass) in English,No,75,English,Specializations: Speech & Language Therapy or Audiology
Engineering,008,Physical Science,Peradeniya; Sri Jayewardenepura; Jaffna; Ruhuna; Moratuwa; South Eastern,Faculty of Engineering,4 Years,BSc (Eng) Honours,"S in Chemistry, Combined Mathematics, Physics",None,No,2238,English,"Field of specialization assigned by university; includes Civil, Electrical, Mechanical, Computer, Chemical Engineering (varies by university)"
Engineering (EM) – Earth Resources Engineering,009,Physical Science,University of Moratuwa,Faculty of Engineering,4 Years,BSc of Engineering Honours in Earth Resources Engineering,"S in Chemistry, Combined Mathematics, Physics",None,No,80,English,
Engineering (TM) – Textile & Apparel Engineering,010,Physical Science,University of Moratuwa,Faculty of Engineering,4 Years,BSc of Engineering Honours in Textile & Apparel Engineering,"S in Chemistry, Combined Mathematics, Physics",None,No,98,English,
Transport Management & Logistics Engineering (TMLE),057,Physical Science,University of Moratuwa,Faculty of Engineering,4 Years,BSc of Engineering Honours in Transport Management & Logistics Engineering,"S in Chemistry, Combined Mathematics, Physics",None,No,91,English,
Physical Science,013,Physical Science,Colombo; Peradeniya; Sri Jayewardenepura; Kelaniya; Jaffna; Ruhuna; Eastern; South Eastern,Faculty of Science,3-4 Years,BSc in Physical Science,"S in: Combined Math or Higher Math; AND Chemistry or Physics; AND 3rd from: Agri Sci, Combined Math, Bio, Higher Math, Chem, Physics",None,No,2262,English / Sinhala,
Computer Science,012,Physical Science,"Sri Jayewardenepura; Kelaniya; Jaffna; Ruhuna; UCSC (Colombo); Trincomalee Campus, Eastern",Faculty of Computing / School of Computing,3 Years (BSc) / 4 Years (BSc Honours),BSc / BSc Honours in Computer Science / Software Engineering,"C in Combined Math, Physics, or Higher Math + S in 2 from: Combined Math, Higher Math, Math, Physics, Chemistry, ICT",None,No,686,English,4-year Honours available in all institutions
Applied Sciences (Physical Science),015,Physical Science,"Rajarata; Sabaragamuwa; Wayamba; University of Vavuniya; Trincomalee Campus, Eastern",Faculty of Applied Sciences,3 Years (BSc) / 4 Years (BSc Honours),BSc / BSc Honours in Applied Sciences (various specializations),"S in: Combined Math or Higher Math; AND Chemistry or Physics; AND 3rd from: Agri Sci, Combined Math, Bio, Higher Math, Chem, Physics, ICT",None,No,778,English,"Specializations vary: Industrial Math, Chemical Tech, Computer Sci, Applied Physics, Electronics, etc."
Industrial Statistics & Mathematical Finance,059,Physical Science,University of Colombo,Faculty of Science,3 Years (BSc) / 4 Years (BSc Honours),BSc / BSc Honours in Industrial Statistics / Mathematical Finance,"S in Combined Math + any 2 from: Higher Math, Physics, Chemistry, ICT",None,No,121,English,
Statistics & Operations Research,060,Physical Science,University of Peradeniya,Faculty of Science,4 Years,BSc Honours in Statistics and Operations Research,"S in Combined Math + 2 from: Biology, Chemistry, Physics, Agri Sci, Math, Higher Math, ICT",None,No,79,English,
Physical Science – ICT,108,Physical Science,Sri Jayewardenepura; Kelaniya,Faculty of Science,3 Years,BSc in Physics & Electronics (Kelaniya); BSc in Physics & ICT (USJ),"S in Combined Math, Physics, Information & Communication Technology",None,No,156,English,Faculty selects specific degree programme within university
Artificial Intelligence,117,Physical Science,University of Moratuwa,Faculty of Information Technology,4 Years,BSc Honours in Artificial Intelligence,"C in Combined Math, Physics, or Higher Math + S in 2 from: Combined Math, Higher Math, Math, Physics, Chemistry, ICT",None,No,50,English,
Electronics and Computer Science,119,Physical Science,University of Kelaniya,Faculty of Science,3 Years (BSc) / 4 Years (BSc Honours),BSc / BSc Honours in Electronics and Computer Science,"C in Combined Math, Physics, or Higher Math; AND Physics + Combined Math or Higher Math + 3rd from: Chemistry, Combined Math, Higher Math, ICT",None,No,80,English,
Data Science,136,Physical Science,Sabaragamuwa University,Faculty of Computing,4 Years,BSc Honours in Data Science,"C in Combined Math, Physics, or Higher Math + S in 2 from: Combined Math, Physics, Higher Math, Chemistry, ICT",At least C (Credit Pass) in English,No,65,English,
Engineering Technology (ET),102,Engineering Technology,Sri Jayewardenepura; Kelaniya; Jaffna; Ruhuna; Rajarata; Wayamba; Uva Wellassa; Colombo; Sabaragamuwa,Faculty of Technology / Faculty of Engineering Technology,4 Years,BET Honours (Bachelor of Engineering Technology Honours),"S in Engineering Technology (ET), Science for Technology (SFT) + 3rd from: Economics, Geography, Home Economics, English, Comm & Media Studies, ICT, Art, Business Studies, Agri Sci, Accountancy, Math",None,No,1336,English,Designed per Sydney Accord (Institution of Engineers Sri Lanka) accreditation standards
Biosystems Technology (BST),103,Biosystems Technology,Sri Jayewardenepura; Jaffna; Eastern; South Eastern; Rajarata; Wayamba; Uva Wellassa; Colombo; Sabaragamuwa; Ruhuna; Kelaniya,Faculty of Technology / Faculty of Biosystems Technology,4 Years,BBST Honours (Bachelor of Biosystems Technology Honours),"S in Biosystems Technology (BST), Science for Technology (SFT) + 3rd from: Economics, Geography, Home Economics, English, Comm & Media Studies, ICT, Art, Business Studies, Agri Sci, Accountancy, Math",None,No,1324,English,Accredited by National Biotechnology Industry Association (NBIA)
Information Communication Technology,104,ICT (Technology Stream),Sri Jayewardenepura; Kelaniya; Vavuniya; Ruhuna; South Eastern; Rajarata; Colombo; Uva Wellassa; Eastern,Faculty of Technology / Faculty of Computing,4 Years,BICT Honours (Bachelor of Information & Communication Technology Honours),"S in Information & Communication Technology (ICT), Science for Technology (SFT) + Engineering Technology (ET) or Biosystems Technology (BST)",None,No,1020,English,Accredited by Computer Society of Sri Lanka
Information Technology (IT),026,Multi-stream (any),University of Moratuwa,Faculty of Information Technology,4 Years,BSc Honours in Information Technology,"3 passes including C in one of: Higher Math, Combined Math, Math, Physics",None,No,251,English,
Management and Information Technology (MIT),027,Biological Science or Physical Science,University of Kelaniya,Faculty of Computing & Technology,4 Years,BSc Honours in Management & Information Technology,C in Higher Math/Combined Math/Math or Physics; AND 3 subjects from Bio Sci or Phys Sci (or 2 Bio/Phys Sci + ICT as 3rd),At least B (Very Good Pass) in Mathematics; at least C (Credit Pass) in English,No,119,English,40% of intake from Biological Science Stream; after 1st year students may transfer to BSc Honours in IT based on performance
Quantity Surveying,011,Multi-stream (any),University of Moratuwa,Faculty of Architecture,4 Years,BSc Honours in Quantity Surveying,"S in Combined Math or Higher Math + others from: Accounting, Economics, Business Stats, Business Studies, Physics, Chemistry, ICT",C in Mathematics; S in Science; C in English,No,152,English,
Surveying Science,014,Multi-stream (Physical Science),Sabaragamuwa University,Faculty of Geomatics,4 Years,BSc in Surveying Science,"S in Physics, Combined Mathematics + any other subject",None,No,165,English,
Urban Informatics and Planning,030,Multi-stream (any),University of Moratuwa,Faculty of Architecture,4 Years,BSc Honours in Urban Informatics and Planning,"S in 3 from: Combined Math, Chemistry, Physics, Biology; OR 1-2 from these + from broader subject list (Economics, Geog, Agri Sci, ICT, ET, BST, etc.)",At least B (Very Good Pass) in English; at least C (Credit Pass) in Mathematics,No,88,English,Formerly 'Bachelor of Science Honours in Town & Country Planning'; renamed from AY 2024/2025
Architecture,023,Multi-stream (any),University of Moratuwa,Faculty of Architecture,5 Years,Bachelor of Architecture,"S in 1 from: Art, Combined Math, Higher Math, Chemistry, Biology, Physics, Geography + 2 from broader subject list",S in English; C in Mathematics (or S in Math at A/L),Yes,100,English,Aptitude Test (written/practical/interview) conducted by University of Moratuwa
Fashion Design & Product Development,034,Multi-stream (any),University of Moratuwa,Faculty of Architecture,4 Years,BDes Honours (Bachelor of Design Honours),S in any 3 subjects,C in English; C in Mathematics; C in Science,Yes,79,English,Aptitude Test by Moratuwa; specializations: Fashion Design or Textile Design
Landscape Architecture,097,Multi-stream (any),University of Moratuwa,Faculty of Architecture,4 Years,Bachelor of Landscape Architecture,"S in 1 from: Art, Geography, Biology, Higher Math, Chemistry, Physics, Combined Math, Agri Sci + other 2 from broad list",S in English; C in Mathematics (or S in Math at A/L),Yes,81,English,Aptitude Test by University of Moratuwa
Design,024,Multi-stream (any),University of Moratuwa,Faculty of Architecture,4 Years,BDes Honours,S in any 3 subjects,S in English; C in Mathematics (or S in Math at A/L); C in Science,Yes,87,English,Aptitude Test by Moratuwa; specializations from Level 2 Semester 2: Fashion & Lifestyle Design; Media & Communication Design; Product Design
Law,025,Multi-stream (any),Colombo; Peradeniya; Jaffna,Faculty of Law,4 Years,Bachelor of Laws (LLB),"S in 3 from specific subjects list (Accounting, Political Sci, Geog, History, Business Studies, Economics, Biology, Physics, Chemistry, Math, ICT, etc.) OR 1-2 from this list + others (languages, religions)",C in English (or S in English at A/L),No,495,English,From AY 2025/2026: two C grades + one S grade required; also need C in Sinhala or Tamil at O/L
Facilities Management,056,Multi-stream (Physical Science or Commerce),University of Moratuwa,Faculty of Architecture,4 Years,BSc Honours in Facilities Management,"Category A: S in Chemistry, Combined Math, Physics; OR Category B: S in Business Studies, Economics, Accounting (or 2 of these + other Commerce/Science subjects)",C in English; C in Mathematics; C in Science,No,81,English,
Management and Information Technology (SEUSL),079,Multi-stream (any),South Eastern University of Sri Lanka,Faculty of Management and Commerce,3 Years,BSc in Management and Information Technology,S in any 3 subjects,None,No,170,English / Tamil,Combined Management and IT course units
Science and Technology,064,Biological Science or Physical Science,Uva Wellassa University,Faculty of Science & Technology,4 Years,BSc Honours in Science & Technology,S in Biological Science Stream subjects (Bio+Chem+Phys/Math); OR S in Physical Science Stream subjects (Combined Math/Higher Math + Chem or Physics),None,No,107,English,Specializations from 3rd year: Food Engineering & Bioprocess Technology; Materials Science & Technology; Mechatronics
Computer Science & Technology,065,Biological Science or Physical Science,Uva Wellassa University,Faculty of Science & Technology,4 Years,BSc Honours in Computer Science and Technology,Bio+Chem+(Math/Physics); OR Combined Math/Higher Math + Chem or Physics + 3rd from sci subjects including ICT,None,No,101,English,Final year: industrial training + individual project
Entrepreneurship and Management,066,Commerce; Biological Science; or Physical Science,Uva Wellassa University,Faculty of Management,4 Years,BBM Honours in Entrepreneurship and Management,"S in any 3 from Commerce, Biological Science, or Physical Science Stream",None,No,101,English,Final year: industrial training + research project
Industrial Information Technology,075,Multi-stream (any),Uva Wellassa University,Faculty of Science & Technology,4 Years,BSc Honours in Industrial Information Technology,"C in Combined Math, Physics, or ICT + S in any 2 other subjects",C in English; C in Mathematics,No,100,English,Final year: industrial training + research
